Support Worker Level 1.1,On commencement,790.3,20.8
Support Worker Level 2.1,On commencement,820.4,21.59
Support Worker Level 2.2,After 1 year*,848.7,22.33
Support Worker Level 3.1,On commencement,899.5,23.67
Children’s Services Employee Level 2.1,On commencement,820.4,21.59
Children’s Services Employee Level 2.2,After 1 year*,848.7,22.33
Children’s Services Employee Level 3A.1**,On commencement,885.7,23.31
Children’s Services Employee Level 3A.2**,After 1 year,899.5,23.67
Children’s Services Employee Level 3.1,On commencement,899.5,23.67
Children’s Services Employee Level 3.2,After 1 year*,930.5,24.49
Children’s Services Employee Level 3.3,After 2 years*,959.8,25.26
Children’s Services Employee Level 3.4 (Diploma),,1012.9,26.66
Children’s Services Employee Level 4A.1,On commencement,959.8,25.26
Children’s Services Employee Level 4A.2,After 1 year*,973.2,25.61
Children’s Services Employee Level 4A.3,After 2 years*,986.5,25.96
Children’s Services Employee Level 4A.4,After 3 years*,1000.3,26.32
Children’s Services Employee Level 4A.5,After 4 years*,1013.7,26.68
Children’s Services Employee Level 4.1,On commencement,1059.6,27.88
Children’s Services Employee Level 4.2,After 1 year*,1075.8,28.31
Children’s Services Employee Level 4.3,After 2 years*,1091.8,28.73
Children’s Services Employee Level 5A.1,On commencement,1108,29.16
Children’s Services Employee Level 5A.2,After 1 year*,1124.1,29.58
Children’s Services Employee Level 5A.3,After 2 years*,1140,30
Children’s Services Employee Level 5.1,On commencement,1108,29.16
Children’s Services Employee Level 5.2,After 1 year*,1124.1,29.58
Children’s Services Employee Level 5.3,After 2 years*,1140,30
Children’s Services Employee Level 5.4***,,1144.1,30.11
Children’s Services Employee Level 6A.1,On commencement,1277.7,33.62
Children’s Services Employee Level 6A.2,After 1 year*,1293.6,34.04
Children’s Services Employee Level 6A.3,After 2 years*,1309.5,34.46
Children’s Services Employee—Director Level 6.1,On commencement,1277.7,33.62
Children’s Services Employee—Director Level 6.2,After 1 year*,1293.6,34.04
Children’s Services Employee—Director Level 6.3,After 2 years*,1309.5,34.46
Children’s Services Employee—Director Level 6.4,On commencement,1358.4,35.75
Children’s Services Employee—Director Level 6.5,After 1 year*,1370.8,36.07
Children’s Services Employee—Director Level 6.6,After 2 years*,1387.3,36.51
Children’s Services Employee—Director Level 6.7,On commencement,1403.8,36.94
Children’s Services Employee—Director Level 6.8,After 1 year *,1419.8,37.36
Children’s Services Employee—Director Level 6.9,After 2 years*,1435.8,37.78
